"Crawled Time","ASIN","Author","NumberOfPages","Publisher","FormattedPrice","Title","PublicationDate","SalesRank","DetailPageURL"
"06/27/2015 - 21:17:22","0393925722","","2660","W. W. Norton & Company","$61.95: $2.00","The Norton Anthology of Western Literature, Volume 1","2005-08-02","24347","http://www.amazon.com/Norton-Anthology-Western-Literature-Volume/dp/0393925722%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0393925722"
"06/27/2015 - 21:17:22","0446574724","James Patterson: Maxine Paetro","400","Vision","$9.99","Private","2011-08-01","21328","http://www.amazon.com/Private-James-Patterson/dp/0446574724%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446574724"
"06/27/2015 - 21:17:22","1455513024","James Patterson: Mark Sullivan","464","Grand Central Publishing","$14.99","Private Games","2012-07-03","31996","http://www.amazon.com/Private-Games-James-Patterson/dp/1455513024%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455513024"
"06/27/2015 - 21:17:22","1455599816","James Patterson: Michael Ledwidge","368","Grand Central Publishing","$10.00","Run for Your Life (Michael Bennett)","2013-08-06","22581","http://www.amazon.com/Run-Your-Life-Michael-Bennett/dp/1455599816%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455599816"
"06/27/2015 - 21:17:22","1433537125","","576","Crossway","$25.00: $6.76","Recovering Biblical Manhood and Womanhood (Redesign): A Response to Evangelical Feminism","2012-11-30","76441","http://www.amazon.com/Recovering-Biblical-Manhood-Womanhood-Redesign/dp/1433537125%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1433537125"
"06/27/2015 - 21:17:22","0446571784","James Patterson: Maxine Paetro","432","Grand Central Publishing","$14.99","Private: #1 Suspect","2013-01-15","33770","http://www.amazon.com/Private-1-Suspect-James-Patterson/dp/0446571784%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446571784"
"06/27/2015 - 21:17:22","0446610224","James Patterson","432","Grand Central Publishing","$8.00","The Big Bad Wolf (Alex Cross)","2004-10-01","23338","http://www.amazon.com/The-Big-Wolf-Alex-Cross/dp/0446610224%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446610224"
"06/27/2015 - 21:17:22","0446198986","James Patterson","432","Vision","$10.00","Double Cross (Alex Cross, Book 13)","2008-10-01","26722","http://www.amazon.com/Double-Cross-Alex-Book-13/dp/0446198986%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446198986"
"06/27/2015 - 21:17:22","1455599832","James Patterson: Michael Ledwidge","368","Grand Central Publishing","$10.00","Worst Case (Michael Bennett)","2013-08-06","24850","http://www.amazon.com/Worst-Michael-Bennett-James-Patterson/dp/1455599832%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455599832"
"06/27/2015 - 21:17:22","0759529515","James Patterson","256","Yen Press","$13.00","Maximum Ride: The Manga, Vol. 1","2009-01-27","59521","http://www.amazon.com/Maximum-Ride-The-Manga-Vol/dp/0759529515%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0759529515"
"06/27/2015 - 21:17:22","0446613266","James Patterson","416","Grand Central Publishing","$7.99","Four Blind Mice (Alex Cross #8)","2003-10-01","22184","http://www.amazon.com/Four-Blind-Mice-Alex-Cross/dp/0446613266%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446613266"
"06/27/2015 - 21:17:22","145551019X","James Patterson","400","Vision","$10.00","Kill Alex Cross","2012-11-20","15712","http://www.amazon.com/Kill-Alex-Cross-James-Patterson/dp/145551019X%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D145551019X"
"06/27/2015 - 21:17:22","0759529728","James Patterson","208","Yen Press","$13.00","Maximum Ride: The Manga, Vol. 6","2012-12-11","67964","http://www.amazon.com/Maximum-Ride-The-Manga-Vol/dp/0759529728%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0759529728"
