"Crawled Time","ASIN","Author","NumberOfPages","Publisher","FormattedPrice","Title","PublicationDate","SalesRank","DetailPageURL"
"06/27/2015 - 21:17:22","0316407054","James Patterson: Mark Sullivan","400","Little, Brown and Company","$28.00","Private Paris","2016-01-25","21220","http://www.amazon.com/Private-Paris-James-Patterson/dp/0316407054%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316407054"
"06/27/2015 - 21:17:22","1455529753","James Patterson: Michael White","320","Vision","$10.00","Private Down Under","2015-03-31","7700","http://www.amazon.com/Private-Down-Under-James-Patterson/dp/1455529753%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455529753"
"06/27/2015 - 21:17:22","1455560820","James Patterson: Ashwin Sanghi","384","Grand Central Publishing","$16.00","Private India: City on Fire","2014-11-11","12790","http://www.amazon.com/Private-India-City-James-Patterson/dp/1455560820%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455560820"
"06/27/2015 - 21:17:22","0702051837","James W Patterson MD","1262","Elsevier","$379.00","Weedon's Skin Pathology, 4e","2015-03-06","70514","http://www.amazon.com/Weedons-Skin-Pathology-James-Patterson/dp/0702051837%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0702051837"
"06/27/2015 - 21:17:22","145551585X","James Patterson: Michael Ledwidge","400","Vision","$10.00","Gone (Michael Bennett)","2014-12-16","10867","http://www.amazon.com/Gone-Michael-Bennett-James-Patterson/dp/145551585X%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D145551585X"
"06/27/2015 - 21:17:22","1455547743","James Patterson: Maxine Paetro","352","Grand Central Publishing","$8.00","Confessions of a Murder Suspect","2014-05-27","9939","http://www.amazon.com/Confessions-Murder-Suspect-James-Patterson/dp/1455547743%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455547743"
"06/27/2015 - 21:17:22","0316322121","James Patterson: Chris Tebbetts","288","Little, Brown and Company","$13.99","Middle School: Save Rafe!","2014-06-23","6356","http://www.amazon.com/Middle-School-Save-James-Patterson/dp/0316322121%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316322121"
"06/27/2015 - 21:17:22","0316101745","James Patterson","368","Little, Brown and Company","$10.00","Nevermore: A Maximum Ride Novel","2014-02-25","8275","http://www.amazon.com/Nevermore-A-Maximum-Ride-Novel/dp/0316101745%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316101745"
"06/27/2015 - 21:17:22","0316370843","James Patterson: Maxine Paetro","320","Little, Brown and Company","$18.00","Confessions: The Paris Mysteries","2014-10-06","22283","http://www.amazon.com/Confessions-Paris-Mysteries-James-Patterson/dp/0316370843%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316370843"
"06/27/2015 - 21:17:22","0316322113","James Patterson: Julia Bergen","256","Little, Brown and Company","$13.99","Middle School: Ultimate Showdown","2014-03-31","8794","http://www.amazon.com/Middle-School-Ultimate-James-Patterson/dp/0316322113%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316322113"
"06/27/2015 - 21:17:22","0446194050","James Patterson","320","Grand Central Publishing","$8.00","The Final Warning: A Maximum Ride Novel (Book 4)","2009-02-01","13216","http://www.amazon.com/The-Final-Warning-Maximum-Novel/dp/0446194050%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446194050"
"06/27/2015 - 21:17:22","0446364193","James Patterson","528","Grand Central Publishing","$8.00","Along Came A Spider","1993-12-01","11929","http://www.amazon.com/Along-Came-Spider-James-Patterson/dp/0446364193%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446364193"
"06/27/2015 - 21:17:22","031615427X","James Patterson","432","Little, Brown and Company","$10.00","Saving the World: A Maximum Ride Novel (Book 3)","2008-07-01","13993","http://www.amazon.com/Saving-World-Maximum-Ride-Novel/dp/031615427X%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D031615427X"
"06/27/2015 - 21:17:22","0316038326","James Patterson","352","Little, Brown and Company","$10.00","Angel: A Maximum Ride Novel","2012-02-07","10005","http://www.amazon.com/Angel-A-Maximum-Ride-Novel/dp/0316038326%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316038326"
"06/27/2015 - 21:17:22","0446696641","James Patterson: Andrew Gross","352","Grand Central Publishing","$16.00","3rd Degree (Women's Murder Club)","2005-05-20","20530","http://www.amazon.com/3rd-Degree-Womens-Murder-Club/dp/0446696641%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446696641"
"06/27/2015 - 21:17:22","0316231754","James Patterson: Chris Tebbetts","336","Little, Brown and Company","$14.00","Middle School: How I Survived Bullies, Broccoli, and Snake Hill","2013-06-24","11600","http://www.amazon.com/Middle-School-Survived-Bullies-Broccoli/dp/0316231754%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316231754"
"06/27/2015 - 21:17:22","0316128252","James Patterson","1392","Little, Brown and Company","$29.99: $4.50","Maximum Ride Box Set (Maximum Ride, School's Out Forever, Saving the World)","2010-10-12","37360","http://www.amazon.com/Maximum-Schools-Forever-Saving-World/dp/0316128252%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316128252"
"06/27/2015 - 21:17:22","0446696633","James Patterson","400","Grand Central Publishing","$14.99","2nd Chance (Women's Murder Club)","2005-05-20","34421","http://www.amazon.com/2nd-Chance-Womens-Murder-Club/dp/0446696633%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446696633"
"06/27/2015 - 21:17:22","0316207705","James Patterson: Emily Raymond","384","Little, Brown and Company","$18.00","The Lost (Witch & Wizard)","2014-12-15","16917","http://www.amazon.com/Lost-Witch-Wizard-James-Patterson/dp/0316207705%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316207705"
"06/27/2015 - 21:17:22","0446571830","James Patterson: Maxine Paetro","416","Vision","$10.00","11th Hour (Women's Murder Club)","2013-06-25","9648","http://www.amazon.com/11th-Hour-Womens-Murder-Club/dp/0446571830%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446571830"
"06/27/2015 - 21:17:22","0316038318","James Patterson","368","Little, Brown and Company","$10.00","Fang: A Maximum Ride Novel","2011-01-04","13762","http://www.amazon.com/Fang-A-Maximum-Ride-Novel/dp/0316038318%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316038318"
"06/27/2015 - 21:17:22","0446194069","James Patterson","304","Grand Central Publishing","$7.99","Max (Maximum Ride, Book 5)","2010-02-01","18074","http://www.amazon.com/Max-Maximum-Ride-Book-5/dp/0446194069%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446194069"
"06/27/2015 - 21:17:22","0446571849","James Patterson","416","Vision","$10.00","Alex Cross, Run","2014-02-25","17179","http://www.amazon.com/Alex-Cross-Run-James-Patterson/dp/0446571849%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446571849"
"06/27/2015 - 21:17:22","1455511463","James Patterson: Maxine Paetro","400","Vision","$10.00","10th Anniversary (Women's Murder Club)","2012-12-18","15789","http://www.amazon.com/10th-Anniversary-Womens-Murder-Club/dp/1455511463%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455511463"
"06/27/2015 - 21:17:22","0446601241","James Patterson","496","Warner Books","$8.00","Kiss the Girls (Alex Cross)","1995-12-01","12070","http://www.amazon.com/Kiss-Girls-Cross-James-Patterson/dp/0446601241%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446601241"
"06/27/2015 - 21:17:22","0446199257","James Patterson: Maxine Paetro","400","Grand Central Publishing","$16.00","7th Heaven (Women's Murder Club)","2009-04-07","18413","http://www.amazon.com/7th-Heaven-Womens-Murder-Club/dp/0446199257%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446199257"
"06/27/2015 - 21:17:22","0316101761","James Patterson: Jill Dembowski","384","Little, Brown and Company","$10.00","The Kiss (Witch & Wizard)","2013-11-19","14312","http://www.amazon.com/Kiss-Witch-Wizard-James-Patterson/dp/0316101761%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316101761"
"06/27/2015 - 21:17:22","0446574716","James Patterson","384","Vision","$10.00","Cross Fire (Alex Cross)","2011-10-01","11328","http://www.amazon.com/Cross-Fire-Alex-James-Patterson/dp/0446574716%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446574716"
"06/27/2015 - 21:17:22","0446565660","James Patterson: Maxine Paetro","384","Vision","$10.00","The 9th Judgment (Women's Murder Club)","2012-02-01","15773","http://www.amazon.com/The-Judgment-Womens-Murder-Club/dp/0446565660%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446565660"
"06/27/2015 - 21:17:22","0446613363","James Patterson: Maxine Paetro","416","Warner Vision Books","$10.00","4th of July (Women's Murder Club, No 4)","2006-06-01","17598","http://www.amazon.com/4th-July-Womens-Murder-Club/dp/0446613363%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446613363"
"06/27/2015 - 21:17:22","0446604801","James Patterson","480","Vision","$8.00","Jack & Jill (Alex Cross)","1997-11-01","16732","http://www.amazon.com/Jack-Jill-Cross-James-Patterson/dp/0446604801%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446604801"
"06/27/2015 - 21:17:22","0759529744","James Patterson","208","Yen Press","$13.00","Maximum Ride: The Manga, Vol. 8","2014-07-29","24323","http://www.amazon.com/Maximum-Ride-The-Manga-Vol/dp/0759529744%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0759529744"
"06/27/2015 - 21:17:22","0446606189","James Patterson","480","Vision","$7.99","Cat & Mouse (Alex Cross)","1998-11-01","12627","http://www.amazon.com/Mouse-Alex-Cross-James-Patterson/dp/0446606189%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446606189"
"06/27/2015 - 21:17:22","1455515906","James Patterson: Mark Sullivan","432","Vision","$10.00","Private L.A.","2015-01-27","25296","http://www.amazon.com/Private-L-A-James-Patterson/dp/1455515906%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455515906"
"06/27/2015 - 21:17:22","0446562459","James Patterson: Ned Rust","352","Grand Central Publishing","$7.99","The Gift (Witch & Wizard #2)","2012-03-01","20334","http://www.amazon.com/The-Gift-Witch-Wizard-2/dp/0446562459%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446562459"
"06/27/2015 - 21:17:22","0446618195","James Patterson: Maxine Paetro","464","Vision","$10.00","The 5th Horseman (Women's Murder Club)","2008-03-01","22241","http://www.amazon.com/The-Horseman-Womens-Murder-Club/dp/0446618195%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446618195"
"06/27/2015 - 21:17:22","0446198951","James Patterson: Maxine Paetro","416","Vision","$8.00","The 6th Target (Women's Murder Club)","2008-11-25","22713","http://www.amazon.com/The-Target-Womens-Murder-Club/dp/0446198951%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446198951"
"06/27/2015 - 21:17:22","0316207543","James Patterson: Lisa Papademetriou","304","Little, Brown and Company","$15.99","Middle School: My Brother Is a Big, Fat Liar","2013-03-18","21459","http://www.amazon.com/Middle-School-Brother-Big-Liar/dp/0316207543%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316207543"
